time	V(n003)
0.000000000000000e+000	1.321018e-014
5.357143046629584e-009	-9.517398e-010
1.071428609325917e-008	-6.956000e-010
1.607142913988875e-008	7.684325e-010
2.142857218651834e-008	3.440358e-009
2.678571523314792e-008	7.320176e-009
3.214285827977750e-008	1.240789e-008
3.750000132640707e-008	1.870349e-008
7.500000265281415e-008	2.243174e-007
1.500000053056283e-007	1.655094e-006
3.000000106112566e-007	9.008783e-006
6.000000212225132e-007	4.148351e-005
1.200000042445026e-006	1.778579e-004
2.400000084890053e-006	7.736856e-004
4.800000169780105e-006	3.875044e-003
8.100663440221482e-006	1.644398e-002
1.139569323681133e-005	4.492157e-002
1.511110729461974e-005	8.920854e-002
1.853941831559291e-005	1.257535e-001
2.238171451660465e-005	1.581406e-001
2.673006947045230e-005	1.916763e-001
3.347709198247074e-005	2.424573e-001
4.565329299380975e-005	3.316365e-001
6.359894952471384e-005	4.576358e-001
8.914837947652589e-005	6.248317e-001
1.184452544765259e-004	7.960765e-001
1.477421294765259e-004	9.399710e-001
1.770390044765259e-004	1.050889e+000
2.063358794765259e-004	1.127223e+000
2.303508305487611e-004	1.164145e+000
2.454546912359925e-004	1.172640e+000
2.633102047555303e-004	1.165833e+000
2.866635078526029e-004	1.133200e+000
3.159603828526029e-004	1.058423e+000
3.452572578526030e-004	9.488118e-001
3.745541328526030e-004	8.067688e-001
4.038510078526030e-004	6.370921e-001
4.331478828526030e-004	4.456348e-001
4.624447578526031e-004	2.406709e-001
4.859809426049097e-004	7.865343e-002
4.977365030717536e-004	1.413743e-002
5.041906265429894e-004	-2.462734e-002
5.064314894376640e-004	-7.571324e-002
5.075255682877515e-004	-1.191256e-001
5.085938256333238e-004	-1.374114e-001
5.090670611486356e-004	-1.236501e-001
5.097265913689640e-004	-9.579626e-002
5.101845827563705e-004	-8.936917e-002
5.106506259574431e-004	-9.993172e-002
5.111962489575602e-004	-1.258898e-001
5.118135886517711e-004	-1.556719e-001
5.122907907928437e-004	-1.656176e-001
5.127718433789197e-004	-1.583449e-001
5.133310341088125e-004	-1.417754e-001
5.140341788389539e-004	-1.306197e-001
5.145990667912734e-004	-1.386678e-001
5.152294641173578e-004	-1.618360e-001
5.158167809926278e-004	-1.816562e-001
5.162909616487109e-004	-1.861248e-001
5.168326917610742e-004	-1.780575e-001
5.174338521841240e-004	-1.663394e-001
5.179582135484170e-004	-1.643960e-001
5.184944382595536e-004	-1.747030e-001
5.191401547253743e-004	-1.931482e-001
5.199487439780761e-004	-2.069035e-001
5.205830194108210e-004	-2.048208e-001
5.213112159890003e-004	-1.977317e-001
5.219971242334994e-004	-2.008220e-001
5.226687040391902e-004	-2.145555e-001
5.233951582271832e-004	-2.295115e-001
5.239984265993958e-004	-2.328214e-001
5.247384724844042e-004	-2.287739e-001
5.255051300694888e-004	-2.289919e-001
5.261723273598131e-004	-2.380667e-001
5.270276289421962e-004	-2.526098e-001
5.278535967877971e-004	-2.580971e-001
5.288149227403448e-004	-2.579197e-001
5.297162102569032e-004	-2.637056e-001
5.305996505411647e-004	-2.757811e-001
5.315563169209906e-004	-2.848438e-001
5.324229367304920e-004	-2.868883e-001
5.334260144891094e-004	-2.916688e-001
5.343269646625067e-004	-3.017579e-001
5.353825421471752e-004	-3.119398e-001
5.363495612724651e-004	-3.160153e-001
5.374903694359229e-004	-3.225598e-001
5.385482174929336e-004	-3.330560e-001
5.397449023053580e-004	-3.424559e-001
5.409974549365577e-004	-3.489614e-001
5.442195752697607e-004	-3.741304e-001
5.476850485201214e-004	-3.977563e-001
5.610017897046074e-004	-4.929519e-001
5.743185308890933e-004	-5.833653e-001
5.876352720735794e-004	-6.689965e-001
6.009520132580653e-004	-7.498457e-001
6.142687544425513e-004	-8.259127e-001
6.275854956270372e-004	-8.971976e-001
6.409022368115231e-004	-9.637004e-001
6.600328420889728e-004	-1.045973e+000
