time	V(n003)
0.000000000000000e+000	1.321019e-014
5.357143046629584e-009	-6.716261e-010
1.071428609325917e-008	-2.200795e-011
1.607142913988875e-008	1.948868e-009
2.142857218651834e-008	5.241001e-009
2.678571523314792e-008	9.854392e-009
3.214285827977750e-008	1.578904e-008
3.750000132640707e-008	2.304495e-008
7.500000265281415e-008	2.698789e-007
1.500000053056283e-007	2.110663e-006
3.000000106112566e-007	1.261003e-005
6.000000212225132e-007	6.301674e-005
1.200000042445026e-006	2.854801e-004
2.400000084890053e-006	1.345153e-003
4.800000169780105e-006	7.033181e-003
7.382941261234692e-006	2.275266e-002
9.919487046974133e-006	4.966145e-002
1.268379031117317e-005	8.137373e-002
1.611851599500735e-005	1.131247e-001
1.961842914073888e-005	1.407076e-001
2.352241300937997e-005	1.705022e-001
3.133038074666216e-005	2.289300e-001
4.694631622122653e-005	3.428674e-001
6.310439884649495e-005	4.559340e-001
8.944979831970406e-005	6.278225e-001
1.180750481965769e-004	7.948850e-001
1.473719231965770e-004	9.383067e-001
1.766687981965770e-004	1.048713e+000
2.059656731965769e-004	1.124043e+000
2.327289161774074e-004	1.164007e+000
2.486810269910656e-004	1.172593e+000
2.645097526878454e-004	1.166772e+000
2.849074580338288e-004	1.143288e+000
2.967863369491690e-004	1.120732e+000
3.073654720664817e-004	1.093279e+000
3.212150385722457e-004	1.049151e+000
3.371979761714882e-004	9.875994e-001
3.606133982172562e-004	8.804210e-001
3.843010879602593e-004	7.537828e-001
4.124550273954312e-004	5.817567e-001
4.417519023954313e-004	3.845002e-001
4.710487773954313e-004	1.760264e-001
4.843505613776005e-004	8.194198e-002
4.938540525248794e-004	2.349082e-002
4.990641397793088e-004	-1.197873e-003
5.026619705174554e-004	-3.068754e-002
5.036983899908529e-004	-6.345426e-002
5.043681995453716e-004	-9.688497e-002
5.050590387776779e-004	-1.148373e-001
5.054017848976246e-004	-1.063417e-001
5.058964231836839e-004	-8.165230e-002
5.063709387535753e-004	-6.641318e-002
5.067595265591080e-004	-6.737634e-002
5.071499324470949e-004	-8.221653e-002
5.075811659912807e-004	-1.071426e-001
5.081139389396151e-004	-1.336780e-001
5.084718712314454e-004	-1.379935e-001
5.088342127741028e-004	-1.271014e-001
5.092560619281414e-004	-1.084053e-001
5.097475211615093e-004	-9.446388e-002
5.101337909261758e-004	-9.694780e-002
5.105201045171577e-004	-1.132286e-001
5.109475980404506e-004	-1.370608e-001
5.114846702946776e-004	-1.577634e-001
5.118477180185040e-004	-1.567148e-001
5.122433365700393e-004	-1.417710e-001
5.126696846769821e-004	-1.241326e-001
5.130048018419978e-004	-1.178549e-001
5.133409492054533e-004	-1.235755e-001
5.137413735038322e-004	-1.425803e-001
5.141606127272023e-004	-1.659439e-001
5.145800075423384e-004	-1.804958e-001
5.149207307033402e-004	-1.782888e-001
5.153769171737358e-004	-1.612661e-001
5.157887196768047e-004	-1.458070e-001
5.161148318751556e-004	-1.418396e-001
5.164473450798437e-004	-1.501002e-001
5.168791123240553e-004	-1.723407e-001
5.172976859378390e-004	-1.944388e-001
5.176285639500533e-004	-2.029934e-001
5.179591863338032e-004	-1.983864e-001
5.183860211948994e-004	-1.821941e-001
5.188508077297458e-004	-1.669273e-001
5.191768116970720e-004	-1.660896e-001
5.195137171382200e-004	-1.777900e-001
5.199289501854390e-004	-1.999755e-001
5.204104668739265e-004	-2.207379e-001
5.207427987202716e-004	-2.229403e-001
5.211070381441806e-004	-2.118868e-001
5.215231173767644e-004	-1.951309e-001
5.218922240534708e-004	-1.873008e-001
5.222178278469146e-004	-1.923596e-001
5.225985009544465e-004	-2.103263e-001
5.230035374571037e-004	-2.322429e-001
5.233628356386451e-004	-2.436419e-001
5.236922355119263e-004	-2.410696e-001
5.241299547881516e-004	-2.255923e-001
5.245588016992393e-004	-2.112306e-001
5.248777891815719e-004	-2.095309e-001
5.252027614726116e-004	-2.199887e-001
5.256165652065391e-004	-2.417209e-001
5.260708519238429e-004	-2.613135e-001
5.263994615127016e-004	-2.637572e-001
5.267634034923131e-004	-2.532874e-001
5.271748786074930e-004	-2.373892e-001
5.275353897462475e-004	-2.302807e-001
5.278552365044577e-004	-2.356973e-001
5.282362721114366e-004	-2.538070e-001
5.286391617577568e-004	-2.748909e-001
5.289730328390063e-004	-2.841859e-001
5.293007338215222e-004	-2.805188e-001
5.297252772880152e-004	-2.655909e-001
5.301780891838222e-004	-2.524473e-001
5.305015223700518e-004	-2.533746e-001
5.308419908499341e-004	-2.667086e-001
5.312484562819369e-004	-2.868233e-001
5.317923089575978e-004	-3.015050e-001
5.321975763501822e-004	-2.964047e-001
5.326430670362403e-004	-2.816145e-001
5.331269946388306e-004	-2.735861e-001
5.334731577566392e-004	-2.809549e-001
5.338692430864523e-004	-3.005024e-001
5.342826327221972e-004	-3.191680e-001
5.346059883324394e-004	-3.234330e-001
5.349609303229095e-004	-3.152108e-001
5.353734194701010e-004	-3.006803e-001
5.358080020118115e-004	-2.933686e-001
5.361510763726019e-004	-3.004103e-001
5.365492542146557e-004	-3.196048e-001
5.369612832679790e-004	-3.380790e-001
5.372880606715277e-004	-3.425187e-001
5.376415092730230e-004	-3.345716e-001
5.380544622522499e-004	-3.203184e-001
5.384883981531660e-004	-3.133785e-001
5.388315558838807e-004	-3.207258e-001
5.392778975464129e-004	-3.419268e-001
5.396821151922267e-004	-3.584909e-001
5.400041901973330e-004	-3.610609e-001
5.403685083625568e-004	-3.516322e-001
5.407815580422112e-004	-3.373207e-001
5.411331048984184e-004	-3.322228e-001
5.414544813443155e-004	-3.392782e-001
5.418901288311155e-004	-3.596164e-001
5.422997337874167e-004	-3.765546e-001
5.426285843370094e-004	-3.796840e-001
5.429915631960418e-004	-3.708144e-001
5.434066253209427e-004	-3.568587e-001
5.437724042264481e-004	-3.519366e-001
5.441015256634957e-004	-3.594266e-001
5.445367682016913e-004	-3.795134e-001
5.449562945610813e-004	-3.957117e-001
5.452891748649069e-004	-3.975646e-001
5.456657330160294e-004	-3.876233e-001
5.460841125419607e-004	-3.743488e-001
5.464296433756672e-004	-3.714171e-001
5.467626375800335e-004	-3.804387e-001
5.471860992660570e-004	-3.997700e-001
5.476451462107444e-004	-4.149227e-001
5.479901909579224e-004	-4.141670e-001
5.484004341868100e-004	-4.021323e-001
5.488322088442897e-004	-3.911874e-001
5.491673366544856e-004	-3.927492e-001
5.495252754398482e-004	-4.061220e-001
5.499353497103628e-004	-4.247397e-001
5.503328525529953e-004	-4.340263e-001
5.506909051507226e-004	-4.296891e-001
5.511310886040290e-004	-4.170698e-001
5.516337716830656e-004	-4.108506e-001
5.519989076837094e-004	-4.191682e-001
5.524611078233185e-004	-4.391176e-001
5.529022041329618e-004	-4.517539e-001
5.532441350583975e-004	-4.495921e-001
5.537250494978751e-004	-4.360144e-001
5.541652439147342e-004	-4.284889e-001
5.544982901569694e-004	-4.338313e-001
5.548948643477032e-004	-4.505785e-001
5.553152176157025e-004	-4.668286e-001
5.556639642045708e-004	-4.699696e-001
5.560437323351004e-004	-4.615453e-001
5.564694626819662e-004	-4.494140e-001
5.568313770709270e-004	-4.471657e-001
5.571751641318112e-004	-4.565570e-001
5.576045958653340e-004	-4.744087e-001
5.581043421890211e-004	-4.865934e-001
5.584871145649940e-004	-4.829680e-001
5.589590512163388e-004	-4.709002e-001
5.594559796392629e-004	-4.673059e-001
5.598317046155698e-004	-4.771051e-001
5.602892066445401e-004	-4.950745e-001
5.607937407673292e-004	-5.041824e-001
5.611949103439926e-004	-4.983716e-001
5.616554560391418e-004	-4.869075e-001
5.620925958842769e-004	-4.858959e-001
5.624690529726035e-004	-4.970913e-001
5.629084476339637e-004	-5.143282e-001
5.633660995437625e-004	-5.220287e-001
5.637608692051974e-004	-5.161098e-001
5.642133581025211e-004	-5.049038e-001
5.646438699875854e-004	-5.036066e-001
5.650182156654270e-004	-5.143115e-001
5.654598948411604e-004	-5.312440e-001
5.659329049870654e-004	-5.390817e-001
5.663344904806403e-004	-5.332325e-001
5.667918836317398e-004	-5.223572e-001
5.672168850195899e-004	-5.216349e-001
5.675942501911003e-004	-5.326006e-001
5.680364848927369e-004	-5.492717e-001
5.684858570667599e-004	-5.563365e-001
5.688829342167833e-004	-5.504913e-001
5.693391313078395e-004	-5.398346e-001
5.697588989507353e-004	-5.391281e-001
5.701364489805650e-004	-5.498881e-001
5.705806495088911e-004	-5.662810e-001
5.710311543526467e-004	-5.731485e-001
5.714312247257594e-004	-5.673438e-001
5.718902722018533e-004	-5.569796e-001
5.723049135338944e-004	-5.566263e-001
5.726849441944544e-004	-5.674812e-001
5.731304731341213e-004	-5.835935e-001
5.735672856805312e-004	-5.899169e-001
5.739663431046995e-004	-5.841054e-001
5.744258620727449e-004	-5.739861e-001
5.748342670950398e-004	-5.737811e-001
5.752153055361281e-004	-5.845492e-001
5.756625309747129e-004	-6.003850e-001
5.760949508006852e-004	-6.064082e-001
5.764956530616220e-004	-6.006296e-001
5.769573014791468e-004	-5.907840e-001
5.773610029132331e-004	-5.908300e-001
5.777444494875129e-004	-6.016227e-001
5.781934628572701e-004	-6.171723e-001
5.786164521455837e-004	-6.227591e-001
5.790177888155794e-004	-6.169717e-001
5.794807531398358e-004	-6.074334e-001
5.798836075319528e-004	-6.077635e-001
5.802714771742365e-004	-6.186522e-001
5.807225745494385e-004	-6.338757e-001
5.811352961127314e-004	-6.389211e-001
5.815381266027398e-004	-6.330416e-001
5.820021243274276e-004	-6.239068e-001
5.824097741813376e-004	-6.247172e-001
5.828062573991475e-004	-6.359214e-001
5.832597452529078e-004	-6.505578e-001
5.836745439243052e-004	-6.546775e-001
5.840895935341763e-004	-6.482551e-001
5.845555126958803e-004	-6.399193e-001
5.849623605698938e-004	-6.420116e-001
5.853749309838428e-004	-6.541780e-001
5.858302602500975e-004	-6.677104e-001
5.862437705544070e-004	-6.700225e-001
5.866822915970844e-004	-6.625502e-001
5.871526674928157e-004	-6.557811e-001
5.875560011267086e-004	-6.601145e-001
5.880032677048675e-004	-6.739585e-001
5.884689614363868e-004	-6.852134e-001
5.888816093779744e-004	-6.843910e-001
5.893941008054916e-004	-6.754680e-001
5.898957340636101e-004	-6.732789e-001
5.903043270387912e-004	-6.820610e-001
